"id","C_[0]","Cd_[0]","type","v:0","v:1","v:2","Points:0","Points:1","Points:2"
1,0,0,1,0,0,0,0,0,0
2,0,0,1,0,0,0,0.0625,0,0
3,0,0,1,0,0,0,0.125,0,0
4,0,0,1,0,0,0,0.1875,0,0
5,0,0,1,0,0,0,0.25,0,0
6,0,0,1,0,0,0,0.3125,0,0
7,0,0,1,0,0,0,0.375,0,0
8,0,0,1,0,0,0,0.4375,0,0
9,0,0,1,0,0,0,0.5,0,0
10,0,0,1,0,0,0,0.5625,0,0
11,0,0,1,0,0,0,0.625,0,0
12,0,0,1,0,0,0,0.6875,0,0
13,0,0,1,0,0,0,0.75,0,0
14,0,0,1,0,0,0,0.8125,0,0
15,0,0,1,0,0,0,0.875,0,0
16,0,0,1,0,0,0,0.9375,0,0
17,0,0,1,0,0,0,1,0,0
18,0,0,1,0,0,0,0,0.0625,0
19,1238.98,867,1,0,0,0,0.0625,0.0625,0
20,2428.31,3468,1,0,0,0,0.125,0.0625,0
21,3520.94,3179,1,0,0,0,0.1875,0.0625,0
22,4474.68,2601,1,0,0,0,0.25,0.0625,0
23,5253.9,5780,1,0,0,0,0.3125,0.0625,0
24,5830.53,3179,1,0,0,0,0.375,0.0625,0
25,6184.49,7225,1,0,0,0,0.4375,0.0625,0
26,6303.8,4335,1,0,0,0,0.5,0.0625,0
27,6184.49,4335,1,0,0,0,0.5625,0.0625,0
28,5830.53,5202,1,0,0,0,0.625,0.0625,0
29,5253.9,5491,1,0,0,0,0.6875,0.0625,0
30,4474.68,4335,1,0,0,0,0.75,0.0625,0
31,3520.94,4624,1,0,0,0,0.8125,0.0625,0
32,2428.31,1445,1,0,0,0,0.875,0.0625,0
33,1238.98,1445,1,0,0,0,0.9375,0.0625,0
34,0,0,1,0,0,0,1,0.0625,0
35,0,0,1,0,0,0,0,0.125,0
36,2528.16,2312,1,0,0,0,0.0625,0.125,0
37,4954.34,4624,1,0,0,0,0.125,0.125,0
38,7182.12,7803,1,0,0,0,0.1875,0.125,0
39,9125.450000000001,11271,1,0,0,0,0.25,0.125,0
40,10712,10404,1,0,0,0,0.3125,0.125,0
41,11885.4,13294,1,0,0,0,0.375,0.125,0
42,12605.2,10982,1,0,0,0,0.4375,0.125,0
43,12847.8,14739,1,0,0,0,0.5,0.125,0
44,12605.2,12138,1,0,0,0,0.5625,0.125,0
45,11885.4,10404,1,0,0,0,0.625,0.125,0
46,10712,8959,1,0,0,0,0.6875,0.125,0
47,9125.450000000001,7225,1,0,0,0,0.75,0.125,0
48,7182.12,5780,1,0,0,0,0.8125,0.125,0
49,4954.34,5780,1,0,0,0,0.875,0.125,0
50,2528.16,1445,1,0,0,0,0.9375,0.125,0
51,0,0,1,0,0,0,1,0.125,0
52,0,0,1,0,0,0,0,0.1875,0
53,3920.5,4046,1,0,0,0,0.0625,0.1875,0
54,7680.93,6936,1,0,0,0,0.125,0.1875,0
55,11130.6,10693,1,0,0,0,0.1875,0.1875,0
56,14136.2,13294,1,0,0,0,0.25,0.1875,0
57,16586.8,15317,1,0,0,0,0.3125,0.1875,0
58,18397,21675,1,0,0,0,0.375,0.1875,0
59,19506.5,23987,1,0,0,0,0.4375,0.1875,0
60,19880.3,21386,1,0,0,0,0.5,0.1875,0
61,19506.5,17629,1,0,0,0,0.5625,0.1875,0
62,18397,17629,1,0,0,0,0.625,0.1875,0
63,16586.8,17918,1,0,0,0,0.6875,0.1875,0
64,14136.2,14739,1,0,0,0,0.75,0.1875,0
65,11130.6,11849,1,0,0,0,0.8125,0.1875,0
66,7680.93,7225,1,0,0,0,0.875,0.1875,0
67,3920.5,4046,1,0,0,0,0.9375,0.1875,0
68,0,0,1,0,0,0,1,0.1875,0
69,0,0,1,0,0,0,0,0.25,0
70,5474.87,4624,1,0,0,0,0.0625,0.25,0
71,10721.9,10693,1,0,0,0,0.125,0.25,0
72,15528,17051,1,0,0,0,0.1875,0.25,0
73,19707.1,19941,1,0,0,0,0.25,0.25,0
74,23107.4,22542,1,0,0,0,0.3125,0.25,0
75,25614.1,26010,1,0,0,0,0.375,0.25,0
76,27148.5,26588,1,0,0,0,0.4375,0.25,0
77,27664.9,30923,1,0,0,0,0.5,0.25,0
78,27148.5,22831,1,0,0,0,0.5625,0.25,0
79,25614.1,24854,1,0,0,0,0.625,0.25,0
80,23107.4,23987,1,0,0,0,0.6875,0.25,0
81,19707.1,19652,1,0,0,0,0.75,0.25,0
82,15528,17629,1,0,0,0,0.8125,0.25,0
83,10721.9,8670,1,0,0,0,0.875,0.25,0
84,5474.87,4624,1,0,0,0,0.9375,0.25,0
85,0,0,1,0,0,0,1,0.25,0
86,0,0,1,0,0,0,0,0.3125,0
87,7260.26,6069,1,0,0,0,0.0625,0.3125,0
88,14209.4,15606,1,0,0,0,0.125,0.3125,0
89,20559.6,20519,1,0,0,0,0.1875,0.3125,0
90,26064.5,27744,1,0,0,0,0.25,0.3125,0
91,30529,29478,1,0,0,0,0.3125,0.3125,0
92,33810.5,31212,1,0,0,0,0.375,0.3125,0
93,35814.5,33235,1,0,0,0,0.4375,0.3125,0
94,36488.2,34391,1,0,0,0,0.5,0.3125,0
95,35814.5,38437,1,0,0,0,0.5625,0.3125,0
96,33810.5,34102,1,0,0,0,0.625,0.3125,0
97,30529,28322,1,0,0,0,0.6875,0.3125,0
98,26064.5,30923,1,0,0,0,0.75,0.3125,0
99,20559.6,26010,1,0,0,0,0.8125,0.3125,0
100,14209.4,13583,1,0,0,0,0.875,0.3125,0
101,7260.26,8670,1,0,0,0,0.9375,0.3125,0
102,0,0,1,0,0,0,1,0.3125,0
103,0,0,1,0,0,0,0,0.375,0
104,9361.780000000001,7225,1,0,0,0,0.0625,0.375,0
105,18304.6,18207,1,0,0,0,0.125,0.375,0
106,26447.2,29478,1,0,0,0,0.1875,0.375,0
107,33473.3,36703,1,0,0,0,0.25,0.375,0
108,39143.4,41327,1,0,0,0,0.3125,0.375,0
109,43292.6,43928,1,0,0,0,0.375,0.375,0
110,45818.1,50286,1,0,0,0,0.4375,0.375,0
111,46665.5,43350,1,0,0,0,0.5,0.375,0
112,45818.1,45373,1,0,0,0,0.5625,0.375,0
113,43292.6,39015,1,0,0,0,0.625,0.375,0
114,39143.4,43061,1,0,0,0,0.6875,0.375,0
115,33473.3,30923,1,0,0,0,0.75,0.375,0
116,26447.2,23409,1,0,0,0,0.8125,0.375,0
117,18304.6,20230,1,0,0,0,0.875,0.375,0
118,9361.780000000001,10982,1,0,0,0,0.9375,0.375,0
119,0,0,1,0,0,0,1,0.375,0
120,0,0,1,0,0,0,0,0.4375,0
121,11890.3,10982,1,0,0,0,0.0625,0.4375,0
122,23214.1,21964,1,0,0,0,0.125,0.4375,0
123,33467.7,33813,1,0,0,0,0.1875,0.4375,0
124,42253.4,45951,1,0,0,0,0.25,0.4375,0
125,49291.6,47685,1,0,0,0,0.3125,0.4375,0
