"id","C_[0]","Cd_[0]","type","v:0","v:1","v:2","Points:0","Points:1","Points:2"
1,0,0,1,0,0,0,0,0,0
2,0,0,1,0,0,0,0.0625,0,0
3,0,0,1,0,0,0,0.125,0,0
4,0,0,1,0,0,0,0.1875,0,0
5,0,0,1,0,0,0,0.25,0,0
6,0,0,1,0,0,0,0.3125,0,0
7,0,0,1,0,0,0,0.375,0,0
8,0,0,1,0,0,0,0.4375,0,0
9,0,0,1,0,0,0,0.5,0,0
10,0,0,1,0,0,0,0.5625,0,0
11,0,0,1,0,0,0,0.625,0,0
12,0,0,1,0,0,0,0.6875,0,0
13,0,0,1,0,0,0,0.75,0,0
14,0,0,1,0,0,0,0.8125,0,0
15,0,0,1,0,0,0,0.875,0,0
16,0,0,1,0,0,0,0.9375,0,0
17,0,0,1,0,0,0,1,0,0
18,0,0,1,0,0,0,0,0.0625,0
19,1238.98,1445,1,0,0,0,0.0625,0.0625,0
20,2428.31,2023,1,0,0,0,0.125,0.0625,0
21,3520.94,3179,1,0,0,0,0.1875,0.0625,0
22,4474.68,4913,1,0,0,0,0.25,0.0625,0
23,5253.9,4335,1,0,0,0,0.3125,0.0625,0
24,5830.53,5491,1,0,0,0,0.375,0.0625,0
25,6184.49,2312,1,0,0,0,0.4375,0.0625,0
26,6303.8,8959,1,0,0,0,0.5,0.0625,0
27,6184.49,6647,1,0,0,0,0.5625,0.0625,0
28,5830.53,5491,1,0,0,0,0.625,0.0625,0
29,5253.9,4624,1,0,0,0,0.6875,0.0625,0
30,4474.68,6936,1,0,0,0,0.75,0.0625,0
31,3520.94,2312,1,0,0,0,0.8125,0.0625,0
32,2428.31,1734,1,0,0,0,0.875,0.0625,0
33,1238.98,867,1,0,0,0,0.9375,0.0625,0
34,0,0,1,0,0,0,1,0.0625,0
35,0,0,1,0,0,0,0,0.125,0
36,2528.16,2023,1,0,0,0,0.0625,0.125,0
37,4954.34,3179,1,0,0,0,0.125,0.125,0
38,7182.12,7225,1,0,0,0,0.1875,0.125,0
39,9125.450000000001,11849,1,0,0,0,0.25,0.125,0
40,10712,7225,1,0,0,0,0.3125,0.125,0
41,11885.4,13872,1,0,0,0,0.375,0.125,0
42,12605.2,10982,1,0,0,0,0.4375,0.125,0
43,12847.8,11560,1,0,0,0,0.5,0.125,0
44,12605.2,12138,1,0,0,0,0.5625,0.125,0
45,11885.4,10693,1,0,0,0,0.625,0.125,0
46,10712,10982,1,0,0,0,0.6875,0.125,0
47,9125.450000000001,8092,1,0,0,0,0.75,0.125,0
48,7182.12,6936,1,0,0,0,0.8125,0.125,0
49,4954.34,5780,1,0,0,0,0.875,0.125,0
50,2528.16,4913,1,0,0,0,0.9375,0.125,0
51,0,0,1,0,0,0,1,0.125,0
52,0,0,1,0,0,0,0,0.1875,0
53,3920.5,6358,1,0,0,0,0.0625,0.1875,0
54,7680.93,10982,1,0,0,0,0.125,0.1875,0
55,11130.6,10115,1,0,0,0,0.1875,0.1875,0
56,14136.2,11560,1,0,0,0,0.25,0.1875,0
57,16586.8,13872,1,0,0,0,0.3125,0.1875,0
58,18397,17629,1,0,0,0,0.375,0.1875,0
59,19506.5,22542,1,0,0,0,0.4375,0.1875,0
60,19880.3,18207,1,0,0,0,0.5,0.1875,0
61,19506.5,20808,1,0,0,0,0.5625,0.1875,0
62,18397,19652,1,0,0,0,0.625,0.1875,0
63,16586.8,18496,1,0,0,0,0.6875,0.1875,0
64,14136.2,15895,1,0,0,0,0.75,0.1875,0
65,11130.6,12138,1,0,0,0,0.8125,0.1875,0
66,7680.93,7225,1,0,0,0,0.875,0.1875,0
67,3920.5,5202,1,0,0,0,0.9375,0.1875,0
68,0,0,1,0,0,0,1,0.1875,0
69,0,0,1,0,0,0,0,0.25,0
70,5474.87,5202,1,0,0,0,0.0625,0.25,0
71,10721.9,10404,1,0,0,0,0.125,0.25,0
72,15528,12138,1,0,0,0,0.1875,0.25,0
73,19707.1,18207,1,0,0,0,0.25,0.25,0
74,23107.4,21675,1,0,0,0,0.3125,0.25,0
75,25614.1,25432,1,0,0,0,0.375,0.25,0
76,27148.5,25143,1,0,0,0,0.4375,0.25,0
77,27664.9,28611,1,0,0,0,0.5,0.25,0
78,27148.5,21675,1,0,0,0,0.5625,0.25,0
79,25614.1,25432,1,0,0,0,0.625,0.25,0
80,23107.4,22542,1,0,0,0,0.6875,0.25,0
81,19707.1,16184,1,0,0,0,0.75,0.25,0
82,15528,14450,1,0,0,0,0.8125,0.25,0
83,10721.9,13872,1,0,0,0,0.875,0.25,0
84,5474.87,6069,1,0,0,0,0.9375,0.25,0
85,0,0,1,0,0,0,1,0.25,0
86,0,0,1,0,0,0,0,0.3125,0
87,7260.26,6358,1,0,0,0,0.0625,0.3125,0
88,14209.4,13583,1,0,0,0,0.125,0.3125,0
89,20559.6,22831,1,0,0,0,0.1875,0.3125,0
90,26064.5,25432,1,0,0,0,0.25,0.3125,0
91,30529,29478,1,0,0,0,0.3125,0.3125,0
92,33810.5,36125,1,0,0,0,0.375,0.3125,0
93,35814.5,34969,1,0,0,0,0.4375,0.3125,0
94,36488.2,30345,1,0,0,0,0.5,0.3125,0
95,35814.5,41038,1,0,0,0,0.5625,0.3125,0
96,33810.5,34391,1,0,0,0,0.625,0.3125,0
97,30529,35547,1,0,0,0,0.6875,0.3125,0
98,26064.5,23409,1,0,0,0,0.75,0.3125,0
99,20559.6,18207,1,0,0,0,0.8125,0.3125,0
100,14209.4,15028,1,0,0,0,0.875,0.3125,0
101,7260.26,5491,1,0,0,0,0.9375,0.3125,0
102,0,0,1,0,0,0,1,0.3125,0
103,0,0,1,0,0,0,0,0.375,0
104,9361.780000000001,5491,1,0,0,0,0.0625,0.375,0
105,18304.6,17918,1,0,0,0,0.125,0.375,0
106,26447.2,29767,1,0,0,0,0.1875,0.375,0
107,33473.2,30345,1,0,0,0,0.25,0.375,0
108,39143.4,37859,1,0,0,0,0.3125,0.375,0
109,43292.6,43061,1,0,0,0,0.375,0.375,0
110,45818.1,46818,1,0,0,0,0.4375,0.375,0
111,46665.5,43928,1,0,0,0,0.5,0.375,0
112,45818.1,48263,1,0,0,0,0.5625,0.375,0
113,43292.6,42772,1,0,0,0,0.625,0.375,0
114,39143.4,47396,1,0,0,0,0.6875,0.375,0
115,33473.2,34391,1,0,0,0,0.75,0.375,0
116,26447.2,34391,1,0,0,0,0.8125,0.375,0
117,18304.6,18207,1,0,0,0,0.875,0.375,0
118,9361.780000000001,10693,1,0,0,0,0.9375,0.375,0
119,0,0,1,0,0,0,1,0.375,0
120,0,0,1,0,0,0,0,0.4375,0
121,11890.3,9537,1,0,0,0,0.0625,0.4375,0
122,23214.1,21386,1,0,0,0,0.125,0.4375,0
123,33467.7,36414,1,0,0,0,0.1875,0.4375,0
124,42253.4,43928,1,0,0,0,0.25,0.4375,0
125,49291.6,49997,1,0,0,0,0.3125,0.4375,0
