"id","C_[0]","Cd_[0]","type","v:0","v:1","v:2","Points:0","Points:1","Points:2"
1,0,0,1,0,0,0,0,0,0
2,0,0,1,0,0,0,0.0625,0,0
3,0,0,1,0,0,0,0.125,0,0
4,0,0,1,0,0,0,0.1875,0,0
5,0,0,1,0,0,0,0.25,0,0
6,0,0,1,0,0,0,0.3125,0,0
7,0,0,1,0,0,0,0.375,0,0
8,0,0,1,0,0,0,0.4375,0,0
9,0,0,1,0,0,0,0.5,0,0
10,0,0,1,0,0,0,0.5625,0,0
11,0,0,1,0,0,0,0.625,0,0
12,0,0,1,0,0,0,0.6875,0,0
13,0,0,1,0,0,0,0.75,0,0
14,0,0,1,0,0,0,0.8125,0,0
15,0,0,1,0,0,0,0.875,0,0
16,0,0,1,0,0,0,0.9375,0,0
17,0,0,1,0,0,0,1,0,0
18,0,0,1,0,0,0,0,0.0625,0
19,1238.98,578,1,0,0,0,0.0625,0.0625,0
20,2428.31,867,1,0,0,0,0.125,0.0625,0
21,3520.94,3757,1,0,0,0,0.1875,0.0625,0
22,4474.68,2312,1,0,0,0,0.25,0.0625,0
23,5253.9,4913,1,0,0,0,0.3125,0.0625,0
24,5830.53,4913,1,0,0,0,0.375,0.0625,0
25,6184.49,6358,1,0,0,0,0.4375,0.0625,0
26,6303.8,4624,1,0,0,0,0.5,0.0625,0
27,6184.49,7514,1,0,0,0,0.5625,0.0625,0
28,5830.53,6358,1,0,0,0,0.625,0.0625,0
29,5253.9,4913,1,0,0,0,0.6875,0.0625,0
30,4474.68,5780,1,0,0,0,0.75,0.0625,0
31,3520.94,2890,1,0,0,0,0.8125,0.0625,0
32,2428.31,1156,1,0,0,0,0.875,0.0625,0
33,1238.98,867,1,0,0,0,0.9375,0.0625,0
34,0,0,1,0,0,0,1,0.0625,0
35,0,0,1,0,0,0,0,0.125,0
36,2528.16,2312,1,0,0,0,0.0625,0.125,0
37,4954.34,6069,1,0,0,0,0.125,0.125,0
38,7182.12,6647,1,0,0,0,0.1875,0.125,0
39,9125.450000000001,9826,1,0,0,0,0.25,0.125,0
40,10712,9248,1,0,0,0,0.3125,0.125,0
41,11885.4,12427,1,0,0,0,0.375,0.125,0
42,12605.2,14739,1,0,0,0,0.4375,0.125,0
43,12847.8,10982,1,0,0,0,0.5,0.125,0
44,12605.2,10693,1,0,0,0,0.5625,0.125,0
45,11885.4,8092,1,0,0,0,0.625,0.125,0
46,10712,10115,1,0,0,0,0.6875,0.125,0
47,9125.450000000001,8381,1,0,0,0,0.75,0.125,0
48,7182.12,7803,1,0,0,0,0.8125,0.125,0
49,4954.34,2890,1,0,0,0,0.875,0.125,0
50,2528.16,5780,1,0,0,0,0.9375,0.125,0
51,0,0,1,0,0,0,1,0.125,0
52,0,0,1,0,0,0,0,0.1875,0
53,3920.5,2890,1,0,0,0,0.0625,0.1875,0
54,7680.93,8670,1,0,0,0,0.125,0.1875,0
55,11130.6,12716,1,0,0,0,0.1875,0.1875,0
56,14136.2,16184,1,0,0,0,0.25,0.1875,0
57,16586.8,15028,1,0,0,0,0.3125,0.1875,0
58,18397,16473,1,0,0,0,0.375,0.1875,0
59,19506.5,18207,1,0,0,0,0.4375,0.1875,0
60,19880.3,18496,1,0,0,0,0.5,0.1875,0
61,19506.5,21097,1,0,0,0,0.5625,0.1875,0
62,18397,22542,1,0,0,0,0.625,0.1875,0
63,16586.8,16473,1,0,0,0,0.6875,0.1875,0
64,14136.2,13005,1,0,0,0,0.75,0.1875,0
65,11130.6,9248,1,0,0,0,0.8125,0.1875,0
66,7680.93,9248,1,0,0,0,0.875,0.1875,0
67,3920.5,4335,1,0,0,0,0.9375,0.1875,0
68,0,0,1,0,0,0,1,0.1875,0
69,0,0,1,0,0,0,0,0.25,0
70,5474.87,8092,1,0,0,0,0.0625,0.25,0
71,10721.9,8670,1,0,0,0,0.125,0.25,0
72,15528,13294,1,0,0,0,0.1875,0.25,0
73,19707.1,19074,1,0,0,0,0.25,0.25,0
74,23107.4,23698,1,0,0,0,0.3125,0.25,0
75,25614.1,27744,1,0,0,0,0.375,0.25,0
76,27148.5,28611,1,0,0,0,0.4375,0.25,0
77,27664.9,23698,1,0,0,0,0.5,0.25,0
78,27148.5,23987,1,0,0,0,0.5625,0.25,0
79,25614.1,24565,1,0,0,0,0.625,0.25,0
80,23107.4,26299,1,0,0,0,0.6875,0.25,0
81,19707.1,20230,1,0,0,0,0.75,0.25,0
82,15528,13005,1,0,0,0,0.8125,0.25,0
83,10721.9,11271,1,0,0,0,0.875,0.25,0
84,5474.87,7803,1,0,0,0,0.9375,0.25,0
85,0,0,1,0,0,0,1,0.25,0
86,0,0,1,0,0,0,0,0.3125,0
87,7260.26,6647,1,0,0,0,0.0625,0.3125,0
88,14209.4,12138,1,0,0,0,0.125,0.3125,0
89,20559.6,23698,1,0,0,0,0.1875,0.3125,0
90,26064.5,26877,1,0,0,0,0.25,0.3125,0
91,30529,28033,1,0,0,0,0.3125,0.3125,0
92,33810.5,31501,1,0,0,0,0.375,0.3125,0
93,35814.5,32657,1,0,0,0,0.4375,0.3125,0
94,36488.2,41905,1,0,0,0,0.5,0.3125,0
95,35814.5,36992,1,0,0,0,0.5625,0.3125,0
96,33810.5,32368,1,0,0,0,0.625,0.3125,0
97,30529,30923,1,0,0,0,0.6875,0.3125,0
98,26064.5,29189,1,0,0,0,0.75,0.3125,0
99,20559.6,18496,1,0,0,0,0.8125,0.3125,0
100,14209.4,17051,1,0,0,0,0.875,0.3125,0
101,7260.26,7514,1,0,0,0,0.9375,0.3125,0
102,0,0,1,0,0,0,1,0.3125,0
103,0,0,1,0,0,0,0,0.375,0
104,9361.780000000001,10982,1,0,0,0,0.0625,0.375,0
105,18304.6,14739,1,0,0,0,0.125,0.375,0
106,26447.2,23120,1,0,0,0,0.1875,0.375,0
107,33473.2,32368,1,0,0,0,0.25,0.375,0
108,39143.4,34969,1,0,0,0,0.3125,0.375,0
109,43292.6,45951,1,0,0,0,0.375,0.375,0
110,45818.1,41905,1,0,0,0,0.4375,0.375,0
111,46665.5,50864,1,0,0,0,0.5,0.375,0
112,45818.1,43639,1,0,0,0,0.5625,0.375,0
113,43292.6,40171,1,0,0,0,0.625,0.375,0
114,39143.4,36414,1,0,0,0,0.6875,0.375,0
115,33473.2,34102,1,0,0,0,0.75,0.375,0
116,26447.2,26877,1,0,0,0,0.8125,0.375,0
117,18304.6,21675,1,0,0,0,0.875,0.375,0
118,9361.780000000001,10115,1,0,0,0,0.9375,0.375,0
119,0,0,1,0,0,0,1,0.375,0
120,0,0,1,0,0,0,0,0.4375,0
121,11890.3,10693,1,0,0,0,0.0625,0.4375,0
122,23214.1,21097,1,0,0,0,0.125,0.4375,0
123,33467.7,29189,1,0,0,0,0.1875,0.4375,0
124,42253.4,47685,1,0,0,0,0.25,0.4375,0
125,49291.6,47396,1,0,0,0,0.3125,0.4375,0
