"id","C_[0]","Cd_[0]","type","v:0","v:1","v:2","Points:0","Points:1","Points:2"
1,0,0,1,0,0,0,0,0,0
2,0,0,1,0,0,0,0.0625,0,0
3,0,0,1,0,0,0,0.125,0,0
4,0,0,1,0,0,0,0.1875,0,0
5,0,0,1,0,0,0,0.25,0,0
6,0,0,1,0,0,0,0.3125,0,0
7,0,0,1,0,0,0,0.375,0,0
8,0,0,1,0,0,0,0.4375,0,0
9,0,0,1,0,0,0,0.5,0,0
10,0,0,1,0,0,0,0.5625,0,0
11,0,0,1,0,0,0,0.625,0,0
12,0,0,1,0,0,0,0.6875,0,0
13,0,0,1,0,0,0,0.75,0,0
14,0,0,1,0,0,0,0.8125,0,0
15,0,0,1,0,0,0,0.875,0,0
16,0,0,1,0,0,0,0.9375,0,0
17,0,0,1,0,0,0,1,0,0
18,0,0,1,0,0,0,0,0.0625,0
19,1238.97,867,1,0,0,0,0.0625,0.0625,0
20,2428.29,3179,1,0,0,0,0.125,0.0625,0
21,3520.91,3757,1,0,0,0,0.1875,0.0625,0
22,4474.64,3179,1,0,0,0,0.25,0.0625,0
23,5253.86,6647,1,0,0,0,0.3125,0.0625,0
24,5830.48,6069,1,0,0,0,0.375,0.0625,0
25,6184.43,5202,1,0,0,0,0.4375,0.0625,0
26,6303.75,4913,1,0,0,0,0.5,0.0625,0
27,6184.43,6358,1,0,0,0,0.5625,0.0625,0
28,5830.48,4913,1,0,0,0,0.625,0.0625,0
29,5253.86,5491,1,0,0,0,0.6875,0.0625,0
30,4474.64,4624,1,0,0,0,0.75,0.0625,0
31,3520.91,4046,1,0,0,0,0.8125,0.0625,0
32,2428.29,1734,1,0,0,0,0.875,0.0625,0
33,1238.97,867,1,0,0,0,0.9375,0.0625,0
34,0,0,1,0,0,0,1,0.0625,0
35,0,0,1,0,0,0,0,0.125,0
36,2528.14,3468,1,0,0,0,0.0625,0.125,0
37,4954.3,6358,1,0,0,0,0.125,0.125,0
38,7182.06,6936,1,0,0,0,0.1875,0.125,0
39,9125.379999999999,8959,1,0,0,0,0.25,0.125,0
40,10712,15028,1,0,0,0,0.3125,0.125,0
41,11885.3,12427,1,0,0,0,0.375,0.125,0
42,12605.1,10404,1,0,0,0,0.4375,0.125,0
43,12847.7,13005,1,0,0,0,0.5,0.125,0
44,12605.1,11560,1,0,0,0,0.5625,0.125,0
45,11885.3,10982,1,0,0,0,0.625,0.125,0
46,10712,9248,1,0,0,0,0.6875,0.125,0
47,9125.379999999999,6358,1,0,0,0,0.75,0.125,0
48,7182.06,7225,1,0,0,0,0.8125,0.125,0
49,4954.3,4335,1,0,0,0,0.875,0.125,0
50,2528.14,3179,1,0,0,0,0.9375,0.125,0
51,0,0,1,0,0,0,1,0.125,0
52,0,0,1,0,0,0,0,0.1875,0
53,3920.47,4913,1,0,0,0,0.0625,0.1875,0
54,7680.87,4913,1,0,0,0,0.125,0.1875,0
55,11130.5,14450,1,0,0,0,0.1875,0.1875,0
56,14136.1,15895,1,0,0,0,0.25,0.1875,0
57,16586.7,14161,1,0,0,0,0.3125,0.1875,0
58,18396.8,17629,1,0,0,0,0.375,0.1875,0
59,19506.4,15606,1,0,0,0,0.4375,0.1875,0
60,19880.1,23120,1,0,0,0,0.5,0.1875,0
61,19506.4,18207,1,0,0,0,0.5625,0.1875,0
62,18396.8,24276,1,0,0,0,0.625,0.1875,0
63,16586.7,14161,1,0,0,0,0.6875,0.1875,0
64,14136.1,13583,1,0,0,0,0.75,0.1875,0
65,11130.5,13294,1,0,0,0,0.8125,0.1875,0
66,7680.87,9537,1,0,0,0,0.875,0.1875,0
67,3920.47,5202,1,0,0,0,0.9375,0.1875,0
68,0,0,1,0,0,0,1,0.1875,0
69,0,0,1,0,0,0,0,0.25,0
70,5474.83,5202,1,0,0,0,0.0625,0.25,0
71,10721.8,7803,1,0,0,0,0.125,0.25,0
72,15527.9,17051,1,0,0,0,0.1875,0.25,0
73,19707,18496,1,0,0,0,0.25,0.25,0
74,23107.3,23120,1,0,0,0,0.3125,0.25,0
75,25614,28033,1,0,0,0,0.375,0.25,0
76,27148.3,26588,1,0,0,0,0.4375,0.25,0
77,27664.7,25143,1,0,0,0,0.5,0.25,0
78,27148.3,25432,1,0,0,0,0.5625,0.25,0
79,25614,28033,1,0,0,0,0.625,0.25,0
80,23107.3,23987,1,0,0,0,0.6875,0.25,0
81,19707,21675,1,0,0,0,0.75,0.25,0
82,15527.9,14450,1,0,0,0,0.8125,0.25,0
83,10721.8,10693,1,0,0,0,0.875,0.25,0
84,5474.83,7225,1,0,0,0,0.9375,0.25,0
85,0,0,1,0,0,0,1,0.25,0
86,0,0,1,0,0,0,0,0.3125,0
87,7260.22,7225,1,0,0,0,0.0625,0.3125,0
88,14209.3,13872,1,0,0,0,0.125,0.3125,0
89,20559.4,20808,1,0,0,0,0.1875,0.3125,0
90,26064.3,28033,1,0,0,0,0.25,0.3125,0
91,30528.8,32657,1,0,0,0,0.3125,0.3125,0
92,33810.2,27744,1,0,0,0,0.375,0.3125,0
93,35814.3,45662,1,0,0,0,0.4375,0.3125,0
94,36487.9,30345,1,0,0,0,0.5,0.3125,0
95,35814.3,34391,1,0,0,0,0.5625,0.3125,0
96,33810.2,34102,1,0,0,0,0.625,0.3125,0
97,30528.8,27455,1,0,0,0,0.6875,0.3125,0
98,26064.3,24854,1,0,0,0,0.75,0.3125,0
99,20559.4,16473,1,0,0,0,0.8125,0.3125,0
100,14209.3,14161,1,0,0,0,0.875,0.3125,0
101,7260.22,7225,1,0,0,0,0.9375,0.3125,0
102,0,0,1,0,0,0,1,0.3125,0
103,0,0,1,0,0,0,0,0.375,0
104,9361.73,7803,1,0,0,0,0.0625,0.375,0
105,18304.5,20808,1,0,0,0,0.125,0.375,0
106,26447.1,28322,1,0,0,0,0.1875,0.375,0
107,33473.1,34391,1,0,0,0,0.25,0.375,0
108,39143.2,36125,1,0,0,0,0.3125,0.375,0
109,43292.4,44795,1,0,0,0,0.375,0.375,0
110,45817.9,43061,1,0,0,0,0.4375,0.375,0
111,46665.3,47107,1,0,0,0,0.5,0.375,0
112,45817.9,50575,1,0,0,0,0.5625,0.375,0
113,43292.4,49130,1,0,0,0,0.625,0.375,0
114,39143.2,44506,1,0,0,0,0.6875,0.375,0
115,33473.1,33235,1,0,0,0,0.75,0.375,0
116,26447.1,26877,1,0,0,0,0.8125,0.375,0
117,18304.5,20808,1,0,0,0,0.875,0.375,0
118,9361.73,8959,1,0,0,0,0.9375,0.375,0
119,0,0,1,0,0,0,1,0.375,0
120,0,0,1,0,0,0,0,0.4375,0
121,11890.3,9537,1,0,0,0,0.0625,0.4375,0
122,23214,23409,1,0,0,0,0.125,0.4375,0
123,33467.6,33524,1,0,0,0,0.1875,0.4375,0
124,42253.2,50864,1,0,0,0,0.25,0.4375,0
125,49291.4,50864,1,0,0,0,0.3125,0.4375,0
